CharacterID;Numeric ID;Name
ch257000_00;2133916449;Drake
ch220000_02;505830464;Goblin
ch299003_A_50;614907740;Ox
ch299003_A_22;1944501456;Ox
ch230000_02;1999194350;Rogue
ch252000;2727149558;Golem
ch250000_90;835332328;Cyclops
ch299430;2489368601;Bird
ch228000;3664825389;Undead
ch299003_A_61;1407209575;Ox
ch230001_01;3794841598;Lost Mercenary
ch220000_03;3354236422;Goblin
ch251001;2094960111;Grim Ogre
ch223001_00;4267949999;Redwolf
ch254000_00;3550884773;Chimera
ch226000;172545239;Skeleton
ch254000;920145308;Chimera
ch252000_03;812385671;Golem
ch259000_91;2741660177;Talos
ch299210;4246695049;Rat
ch220001_13;265987869;Hobgoblin
ch220001_10;1119391072;Hobgoblin
ch230002_03;3930224407;Lost Mercenary
ch299210_A_00;3671762608;Rat
ch250000_11;2487358235;Cyclops
ch251000_00;2138374751;Ogre
ch299620;1474873777;Grasshopper
ch222003_00;2025923066;Succubus
ch220001;824292082;Hobgoblin
ch299610_A_00;2978377446;Butterfly
ch220001_01;820168355;Hobgoblin
ch254100;688186494;Chimera
ch260001;263786390;Warg
ch250000_00;797468852;Cyclops
ch225001_00;4115095027;Phantasm
ch299240_A_00;1639472460;Spider
ch222000_00;3700061936;Harpy
ch260001_00;247902159;Warg
ch299003_A_90;2189330139;Ox
ch220000_04;3926755095;Goblin
ch228001_00;2898068966;Undead
ch256000_00;3061246416;Minotaur
ch227001;715429530;Wight
ch220001_21;3746646715;Hobgoblin
ch299003_A_14;1016329036;Ox
ch299003_A_12;1638238999;Ox
ch256001;1488712196;Goreminotaur
ch230001_04;1434846056;Lost Mercenary
ch254101_00;2114484143;Gorechimera
ch299031_A_00;929681477;Wild Boar
ch220003_03;2246101787;Knacker
ch223001_01;1432231968;Redwolf
ch230002_06;2698864386;Lost Mercenary
ch220000_91;3738879281;Goblin
ch250000_22;884021677;Cyclops
ch225000_00;2446613150;Phantom
ch299200_B_00;4037765830;Rabbit
ch259000_90;1992394587;Talos
ch230001;3139077209;Lost Mercenary
ch226001_06;409454115;Skeleton
ch222001;44571581;Venin Harpy
ch220000_90;979398568;Goblin
ch221003;3737589358;Magma Scale
ch255010;2757629441;Sacred Arbor Purgener
ch253000_00;3547788120;Griffin
ch251001_00;786298456;Grim Ogre
ch259000;2556420731;Talos
ch220000_12;498711577;Goblin
ch254001_00;3236853785;Gorechimera
ch260000;3305878809;Garm
ch299011_A_00;692713558;Doe
ch299003_A_00;4073166252;Ox
ch299031;856977504;Wild Boar
ch299221;2452937962;Chicken
ch299020_A_00;1656656733;Goat
ch222002;352780568;Gore Harpy
ch227000;3402660597;Lich
ch258001_00;2099579791;Nex
ch299003;2755368963;Ox
ch299430_A_00;1454396558;Bird
ch299420_A_00;1054074961;Seabird
ch299620_A_00;282151500;Grasshopper
ch299003_A_13;1094611796;Ox
ch226000_01;3499882976;Skeleton
ch252000_01;1156291195;Golem
ch299003_A_15;369023852;Ox
ch299030;3543801350;Pig
ch299003_A_20;677531604;Ox
ch221004_00;597146809;Serpent
ch253011_00;355142415;Island Encampment Purgener
ch221001_00;2286111823;Asp
ch299011;857350139;Doe
ch255000_01;4170025353;Medusa
ch299003_A_10;3285466677;Ox
ch221003_00;3777932813;Magma Scale
ch227000_00;3566561083;Lich
ch299600;3331845572;Fish
ch299200;1825882043;Rabbit
ch258000_20;1359728607;Dragon
ch299003_B_00;3790237688;Ox
ch254101;525456013;Gorechimera
ch255000_90;114855116;Medusa
ch254201_00;2997168797;Gorechimera
ch222000;2034931361;Harpy
ch220000;4075430906;Goblin
ch299003_A_21;1209676654;Ox
ch257001_00;3538966457;Lesser Dragon
ch240000;2326588354;Battahl Purgener
ch255010_00;2475491578;Sacred Arbor Purgener
ch221000;984436780;Saurian
ch299410_A_00;597330038;Crow
ch250000_20;3906583030;Cyclops
ch226002_06;1862515730;Skeleton
ch230001_02;328189375;Lost Mercenary
ch220001_03;714445199;Hobgoblin
ch223000_00;3503729693;Wolf
ch230012_04;1588377750;Coral Snake
ch255000_00;3307750390;Medusa
ch220001_22;2402686166;Hobgoblin
ch220000_00;3831138060;Goblin
ch221002;3773499102;Rattler
ch254100_00;1700400553;Chimera
ch299003_A_30;1065282196;Ox
ch253011;2719193164;Island Encampment Purgener
ch220003_02;1873000869;Knacker
ch226002_03;2774400895;Skeleton
ch220000_01;681487416;Goblin
ch299003_A_11;1830828078;Ox
ch220003_00;2774043831;Knacker
ch258000_10;1032736632;Dragon
ch220002_03;86583291;Chopper
ch227001_00;186889532;Wight
ch229000;3871427245;Dullahan
ch253000;3136630913;Griffin
ch252000_00;2288155078;Golem
ch299600_A_00;310693883;Fish
ch220000_13;3340998717;Goblin
ch226001_01;2034177105;Skeleton
ch230100;1046800430;Scavenger
ch299220;4080486209;Rooster
ch230002;3353892892;Lost Mercenary
ch250000_12;2142776531;Cyclops
ch220002_01;3236912930;Chopper
ch251000;2421448835;Ogre
ch230002_01;3740205120;Lost Mercenary
ch299420;561151372;Seabird
ch222002_00;1993240449;Gore Harpy
ch228001;52723289;Undead
ch225002;2286707282;Specter
ch299610;482197764;Butterfly
ch226002_01;325028463;Skeleton
ch220001_00;3023839524;Hobgoblin
ch221002_20;2605756573;Rattler
ch220000_11;4050526927;Goblin
ch220002;1659799223;Chopper
ch253001;1436780457;Sphinx
ch230001_03;3129435526;Lost Mercenary
ch256000;777260744;Minotaur
ch299400;3336645871;Bat
ch228001_01;2515715031;Undead
ch223000;3074847708;Wolf
ch226001;2162458964;Skeleton
ch222001_00;1086493832;Venin Harpy
ch226001_05;997659575;Skeleton
ch254200_00;165035972;Chimera
ch223001;3826873172;Redwolf
ch225001;1670555315;Phantasm
ch299400_A_00;3479796288;Bat
ch299230;3699103987;Leapworm
ch240000_00;894557148;Battahl Purgener
ch299003_A_91;1175099639;Ox
ch299020;1005028787;Goat
ch221004;821632591;Serpent
ch224000;3727708212;Slime
ch228000_01;1089854000;Undead
ch254201;424837784;Gorechimera
ch230100_04;368370889;Scavenger
ch225000;2548825760;Phantom
ch220001_02;3671779649;Hobgoblin
ch257001;3009322132;Lesser Dragon
ch224002_00;2686608683;Sludge
ch299003_A_32;4173192605;Ox
ch299010_A_00;879783835;Stag
ch299003_A_52;3404649426;Ox
ch299003_A_62;3832243964;Ox
ch257000;2617990880;Drake
ch220000_14;886594300;Goblin
ch254200;819242198;Chimera
ch299003_A_60;4049672477;Ox
ch220002_00;617454969;Chopper
ch221001;3739136302;Asp

ch228;1664456944;UNKNOWN
ch222;4014662554;UNKNOWN
ch240;1451278434;UNKNOWN
ch230;1593362061;UNKNOWN
ch225;3630254155;UNKNOWN
ch255;3976105488;UNKNOWN
ch221;2976802794;UNKNOWN
ch223;1708490101;UNKNOWN
ch258;1500865960;UNKNOWN
ch254;213728547;UNKNOWN
ch226;183327035;UNKNOWN
ch257002_00;3527456107;UNKNOWN
ch253;499826084;UNKNOWN
ch257;36478614;UNKNOWN
ch230003;1118799266;UNKNOWN
ch250;2077825897;UNKNOWN
ch256;1928822431;UNKNOWN
ch252;1812347582;UNKNOWN
ch2;824522950;UNKNOWN
ch260;1574305250;UNKNOWN
ch224;3955883062;UNKNOWN
ch227;3007631821;UNKNOWN
ch259;62245128;UNKNOWN
ch299;858274858;UNKNOWN
ch257002;2332827705;UNKNOWN
ch251;3627511773;UNKNOWN
ch220;125340868;UNKNOWN
ch229;1223320344;UNKNOWN
